FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9901,Mayor,Annual,1,1,221052.00,221052.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,122004.00,122004.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,111396.00,111396.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,94692.00,94692.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,84876.00,84876.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,3 00,9,2976,Executive Assistant,Annual,1,1,118092.00,118092.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,100512.00,100512.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,71148.00,71148.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,57372.00,57372.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,133668.00,133668.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9876,Scheduler,Annual,1,1,94692.00,94692.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9876,Scheduler,Annual,1,1,78420.00,78420.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9876,Scheduler,Annual,1,1,67908.00,67908.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9870,Advance,Annual,2,1,67908.00,135816.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,99A2,Chief Operating Officer,Annual,1,1,200520.00,200520.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9899,Chief of Staff,Annual,1,1,210900.00,210900.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,200520.00,200520.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,86880.00,86880.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9855,Assistant Director - Mayor's Office,Annual,1,1,151080.00,151080.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,93348.00,93348.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,73488.00,73488.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,70908.00,70908.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,68844.00,68844.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,62328.00,62328.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,3,1,59676.00,179028.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,113316.00,113316.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9854,Communications Director,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9642,Deputy Press Secretary,Annual,1,1,125052.00,125052.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,100476.00,100476.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,90180.00,90180.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,89172.00,89172.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,86580.00,86580.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9615,Press Secretary,Annual,1,1,134052.00,134052.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0925,Photographer,Annual,1,1,88692.00,88692.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0744,Press Aide II,Annual,1,1,83820.00,83820.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0744,Press Aide II,Annual,1,1,77988.00,77988.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0740,Press Aide,Annual,2,1,72432.00,144864.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0740,Press Aide,Annual,1,1,72420.00,72420.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0740,Press Aide,Annual,1,1,57372.00,57372.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0000,,1 00,9,9896,Chief Financial Officer,Annual,1,1,189360.00,189360.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,183804.00,183804.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,138132.00,138132.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,77256.00,77256.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,172656.00,172656.00
