FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9901,Mayor,Annual,1,1,216210.00,216210.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,179160.00,179160.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9869,Senior Advisor to the Mayor,Annual,2,1,160008.00,320016.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,120000.00,120000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,107016.00,107016.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,106008.00,106008.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,90000.00,90000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,85002.00,85002.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,85512.00,85512.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,63864.00,63864.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,51504.00,51504.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,120000.00,120000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9876,Scheduler,Annual,1,1,70404.00,70404.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9876,Scheduler,Annual,1,1,57792.00,57792.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9870,Advance,Annual,1,1,52536.00,52536.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9870,Advance,Annual,1,1,52526.00,52526.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9899,Chief of Staff,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,107112.00,107112.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,169992.00,169992.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,2,1,112512.00,225024.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,89304.00,89304.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,83796.00,83796.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,65976.00,65976.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,61800.00,61800.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,2,1,58728.00,117456.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,57792.00,57792.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,2,1,53568.00,107136.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,122016.00,122016.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9854,Communications Director,Annual,1,1,165000.00,165000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9642,Deputy Press Secretary,Annual,1,1,120360.00,120360.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,94560.00,94560.00
