State,2022 rate,2023 rate,Change,Rank
Maryland,3,2.1,-0.9,1
Pennsylvania,4.1,3.4,-0.7,2
Mississippi,3.8,3.2,-0.6,3
Ohio,4,3.5,-0.5,4
Wyoming,3.4,2.9,-0.5,4
Connecticut,4.1,3.8,-0.3,6
Delaware,4.3,4,-0.3,6
Hawaii,3.3,3,-0.3,6
Massachusetts,3.7,3.4,-0.3,6
New Mexico,4.1,3.8,-0.3,6
Vermont,2.3,2,-0.3,6
Michigan,4.1,3.9,-0.2,12
North Carolina,3.7,3.5,-0.2,12
Oregon,3.9,3.7,-0.2,12
Rhode Island,3.2,3,-0.2,12
South Carolina,3.2,3,-0.2,12
Florida,3,2.9,-0.1,17
Illinois,4.6,4.5,-0.1,17
Nevada,5.2,5.1,-0.1,17
New Hampshire,2.3,2.2,-0.1,17
New York,4.3,4.2,-0.1,17
North Dakota,2,1.9,-0.1,17
Tennessee,3.4,3.3,-0.1,17
Alabama,2.5,2.5,0,24
Alaska,4.2,4.2,0,24
Louisiana,3.7,3.7,0,24
South Dakota,2,2,0,24
Texas,3.9,3.9,0,24
Washington,4.1,4.1,0,24
West Virginia,3.9,3.9,0,24
Arizona,3.8,3.9,0.1,31
Arkansas,3.2,3.3,0.1,31
Colorado,3.1,3.2,0.1,31
Georgia,3.1,3.2,0.1,31
Iowa,2.8,2.9,0.1,31
Kansas,2.6,2.7,0.1,31
Maine,2.8,2.9,0.1,31
Nebraska,2.2,2.3,0.1,31
Oklahoma,3.1,3.2,0.1,31
Virginia,2.8,2.9,0.1,31
Wisconsin,2.9,3,0.1,31
District of Columbia,4.7,4.9,0.2,42
Indiana,3.1,3.3,0.2,42
Kentucky,4,4.2,0.2,42
Minnesota,2.6,2.8,0.2,42
Montana,2.7,2.9,0.2,42
Utah,2.4,2.6,0.2,42
Idaho,2.8,3.1,0.3,48
Missouri,2.6,3,0.4,49
California,4.3,4.8,0.5,50
New Jersey,3.9,4.4,0.5,50
